EnvironmentID:ID,Name,:LABEL
05f04511302ed9c478aa09ac9e71ac18,Product Wizard (UNIT),Environment
063c08055b925000da9f6cb43e425420,OmniPlus - VIPS (DR),Environment
068fb44d4f1f0a00f6bd4b901210c7a3,MyVoyaIVR (ACCP),Environment
06da26e021314dc4cd3b90193281c050,Data Transfer (ACCP),Environment
072b022730b86400b15c7cf32cb4b9ae,IRM Input DB (PRD),Environment
074f403e9407e1001e229bcf1b3dc740,IPAS (PRD),Environment
07880a6f4f8fa280f6bd4b901210c758,Third-Party Data (UNIT),Environment
0797603cbcc582801e22bcd5946ebcca,Fund Operations - Accounting (INTG),Environment
07a82a6a879318c09f16c5a36c434d35,Genex   eInfo (PRD),Environment
07b91cc5b048d548cb33099caadf87d8,OLTP Purge and Archive Monthly batch jobs (ACCP),Environment
08154734ff5e1000da9f646d8b649d2c,Ultra Doc Service (DR),Environment
08164b94ff065400da9f646d8b649dba,LifeServiceCenter (PRD),Environment
083d57c9b08f0904cb33099caadf8714,AlternateAccess (DR),Environment
0841d82365117c00093f7431eb5dfff4,NICE Perform 4.1 Current (DR),Environment
0844c34c4f3b864038065bad0210c74b,PWeb (DR),Environment
08953e334ffc1a4038065bad0210c74a,ClaimVantage Claims (INTG),Environment
08a585464f67a200e52c605f0310c750,CMDB Reporting Db (UNIT),Environment
08bbdd606f790e00235ee2300b3ee4ea,Oracle Document Capture (DR),Environment
08cca96d49457100cb33390a39e69d14,Enrollment (INTG),Environment
08e210a20a0a3c75019f9237f21b8a7e,Hyperion Reporting (DEV),Environment
08e54b8e0a0a3c750053a2216f1d0b6e,Hyperion Reporting (QA),Environment
08e7270d0a0a3c750052c67c677416b2,Hyperion Reporting (TEST),Environment
08ec47fd0a0a3c75017628dc51615fad,Hyperion Essbase (DEV),Environment
08ee5ae40a0a3c75019c4c2f32758688,Hyperion Essbase (PRD),Environment
08f086d20a0a3c7500fbc61db90f8f4f,Hyperion Essbase (QA),Environment
08f1c2380a0a3c7501ecfd3bb6738bf9,Hyperion Essbase (TEST),Environment
